T(K),a,da/dT
305.65,0,0
305.9,0.00001740001601,0.00006960006402
306.15,0.00005702906245,0.0001585161858
306.4,0.0001290653209,0.0002881450339
307.15,0.0002499210826,0.0001611410155
308.4,0.0004424634528,0.0001540338962
311.15,0.000738192187,0.0001075377215
316.15,0.001176162134,0.00008759398937
322.9,0.001804640018,0.00009310783469
334.65,0.002678533977,0.00007437395392
611.9,0.003858421904,0.000004255682335
618.4,0.005410385964,0.0002387637015
629.9,0.007402958583,0.0001732671843
642.9,0.009909817122,0.0001928352722
648.15,0.01301071853,0.0005906478871
654.4,0.01679691682,0.0006057917272
686.9,0.02137674851,0.0001409178982
694.4,0.02688162839,0.0007339839833
699.4,0.033469935,0.001317661323
704.9,0.04132904781,0.001428929601
710.65,0.05067112567,0.001624709194
715.65,0.06172384422,0.00221054371
721.4,0.07471646225,0.002259585745
731.9,0.08986004781,0.001442246243
737.4,0.1073260078,0.003175629084
743.4,0.1272232598,0.003316208672
748.65,0.1495769645,0.004257848516
754.15,0.1743127794,0.004497420885
759.9,0.201246139,0.004684062548
764.65,0.2300820315,0.0060707142
770.15,0.260425045,0.005516911545
776.15,0.2917994984,0.005229075569
780.9,0.3236788439,0.00671144116
786.4,0.3555202248,0.00578934198
791.9,0.3868007055,0.005687360136
796.4,0.4170508043,0.006722244166
801.4,0.4458804622,0.00576593158
806.15,0.4729951709,0.005708359728
810.65,0.4982004589,0.005601175105
815.4,0.5213977238,0.004883634721
820.15,0.5425707078,0.004457470321
824.4,0.5617696528,0.004517398829
829.15,0.5790925417,0.003646923966
833.9,0.5946689612,0.00327924622
838.15,0.6086473601,0.003289035026
843.4,0.6211858058,0.002388275371
851.9,0.6324468515,0.001324828903
856.65,0.6425938472,0.002136209636
861.15,0.6517905329,0.002043707918
865.15,0.6601976485,0.0021017789
869.9,0.6679712641,0.001636550665
877.9,0.6752582786,0.0009108768056
882.4,0.6821903519,0.001540460743
886.4,0.688881968,0.00167290403
890.15,0.6954251073,0.001744837134
894.4,0.701890527,0.00152127522
898.65,0.7083289349,0.001514919514
902.4,0.7147750289,0.001718958396
906.9,0.7212533182,0.00143961986
910.9,0.7277813401,0.001632005456
914.4,0.7343713711,0.001882866019
918.4,0.741030161,0.001664697457
922.65,0.7477562692,0.001582613708
925.65,0.754536241,0.0022599906
929.65,0.7613427528,0.001701627941
936.9,0.7681348357,0.0009368390276
940.65,0.7748626834,0.001794092719
944.15,0.7814755633,0.001889394246
947.4,0.7879316353,0.001986483686
950.9,0.7942090107,0.00179353584
954.15,0.8003121573,0.00187789127
957.65,0.8062736514,0.001703284006
961.4,0.8121521773,0.001567606915
964.9,0.8180239055,0.00167763663
968.15,0.8239711337,0.001829916359
971.65,0.830069752,0.001742462377
974.9,0.8363772573,0.001940770852
977.9,0.8429262679,0.002183003535
984.65,0.8497218102,0.001006747007
987.65,0.8567432327,0.002340474184
990.9,0.8639493734,0.002217274048
994.15,0.8712863509,0.002257531546
1009.4,0.8786934528,0.0004857115984
1015.15,0.8861095328,0.001289753053
1018.15,0.8934768447,0.002455770616
1021.15,0.9007436436,0.002422266309
1023.65,0.907866556,0.002849164982
1026.4,0.9148113823,0.00252539138
1029.4,0.9215563596,0.002248325754
1031.9,0.9280925194,0.002614463911
1035.4,0.9344260451,0.001809578787
1038.15,0.9405776764,0.002236956812
1040.65,0.9465796627,0.002400794526
1043.4,0.9524731951,0.002143102698
1051.15,0.9583012249,0.0007520038486
1056.4,0.9641040699,0.001105303808
1061.9,0.9699168981,0.00105687786
1063.9,0.975767523,0.002925312425
1066.65,0.9816792119,0.002149705052
1069.4,0.9876730224,0.002179567473
1071.4,0.9937716369,0.003049307205
1073.9,1,0.00249134526
