"T(K),a,da/dT"
"303.15,0.0,0.0"
"303.4,1.574991089e-05,6.299964357e-05"
"303.65,5.131156308e-05,0.0001422466087"
"304.15,0.0001150660826,0.000127509039"
"304.4,0.0002202278368,0.0004206470167"
"305.4,0.000384662531,0.0001644346942"
"307.15,0.0006317050698,0.000141167165"
"309.9,0.0009879625659,0.0001295481804"
"315.15,0.00148241934,9.418224268e-05"
"322.9,0.002143031494,8.524027791e-05"
"331.65,0.002992859463,9.712319646e-05"
"344.15,0.004045885839,8.424211007e-05"
"568.9,0.005303637351,5.59622475e-06"
"576.4,0.006752435159,0.0001931730411"
"583.4,0.008363911114,0.0002302108506"
"588.9,0.01009783019,0.0003152580145"
"595.15,0.01190686605,0.0002894457372"
"601.4,0.01374338807,0.0002938435238"
"607.15,0.01556641354,0.000317047907"
"613.4,0.01734750127,0.0002849740375"
"619.4,0.01907453837,0.0002878395155"
"624.65,0.02075355106,0.0003198119424"
"630.65,0.02240688193,0.0002755551435"
"636.65,0.02407148538,0.0002774339094"
"641.9,0.02579715061,0.0003286981385"
"647.9,0.02764317862,0.0003076713345"
"653.4,0.02967982721,0.0003702997434"
"658.65,0.03198916714,0.0004398742729"
"664.9,0.03466717292,0.0004284809244"
"670.65,0.03782632993,0.0005494186109"
"675.65,0.04159693808,0.0007541216301"
"681.4,0.04612857383,0.0007881105656"
"687.15,0.05158820414,0.0009495009234"
"692.15,0.0581584122,0.001314041612"
"697.9,0.06603131772,0.00136920096"
"703.15,0.07540392711,0.001785258932"
"708.4,0.08646834449,0.002107508071"
"713.65,0.09940178085,0.002463511688"
"719.15,0.1143544455,0.002718666292"
"723.9,0.1314350437,0.003595915416"
"729.4,0.1506973341,0.003502234627"
"734.65,0.1721269136,0.004081824666"
"739.65,0.1956325084,0.004701118958"
"744.9,0.2210407749,0.004839669808"
"750.65,0.2480986268,0.004705713379"
"755.15,0.2764808849,0.006307168462"
"760.4,0.3058044239,0.005585435989"
"765.4,0.3356463177,0.005968378762"
"770.15,0.3655657316,0.006298823994"
"775.65,0.3951254408,0.005374492578"
"780.9,0.4239113748,0.005483035044"
"785.4,0.4515516359,0.006142280242"
"790.15,0.4777302095,0.005511278647"
"795.4,0.5021982237,0.00466057414"
"799.15,0.5247818222,0.006022292931"
"803.9,0.5453845557,0.004337417569"
"808.65,0.5639875314,0.003916415947"
"812.4,0.5806451743,0.004442038103"
"817.65,0.5954753055,0.002824786906"
"822.4,0.6086463708,0.002772855852"
"826.4,0.6203611098,0.00292868475"
"830.9,0.6308380893,0.002328217663"
"835.65,0.640293442,0.001990600564"
"839.65,0.6489266909,0.002158312222"
"844.4,0.6569077382,0.001680220485"
"848.9,0.664371391,0.001658589509"
"852.65,0.6714164294,0.001878676922"
"857.15,0.6781084004,0.001487104659"
"861.15,0.684487899,0.001594874657"
"865.4,0.6905798765,0.00143340646"
"869.4,0.6964023786,0.001455625525"
"873.9,0.7019761549,0.001238616964"
"877.65,0.7073305133,0.001427828911"
"882.15,0.7125068706,0.001150301608"
"886.15,0.7175586561,0.001262946379"
"889.9,0.7225507637,0.001331228693"
"893.9,0.7275527738,0.001250502537"
"897.9,0.7326354996,0.001270681428"
"901.4,0.7378649649,0.001494132949"
"905.4,0.7432963971,0.001357858053"
"909.4,0.7489726128,0.001419053917"
"912.65,0.7549209681,0.001830263191"
"916.65,0.7611532958,0.001558081922"
"920.4,0.7676661635,0.001736764723"
"923.9,0.7744424373,0.00193607823"
"927.65,0.7814515439,0.001869095072"
"931.65,0.7886510833,0.001799884855"
"941.4,0.7959869193,0.0007523934343"
"948.4,0.8033943947,0.001058210776"
"951.65,0.8107997563,0.002278572807"
"961.4,0.8181228722,0.0007510888115"
"964.65,0.825282861,0.002203073484"
"967.65,0.8322023598,0.002306499592"
"970.9,0.8388154258,0.002034789546"
"974.15,0.845072046,0.00192511388"
"977.4,0.8509443364,0.001806858588"
"980.15,0.8564300049,0.001994788571"
"983.4,0.8615526263,0.001576191186"
"986.4,0.866359983,0.001602452244"
"988.9,0.8709204389,0.001824182365"
"992.15,0.8753152466,0.001352248525"
"995.4,0.8796312124,0.001327989459"
"998.15,0.8839512341,0.001570916981"
"1001.15,0.8883459263,0.001464897391"
"1004.15,0.8928653278,0.001506467179"
"1006.65,0.8975336712,0.001867337372"
"1009.9,0.9023477732,0.001481262159"
"1012.9,0.9072795116,0.001643912786"
"1015.4,0.9122810806,0.002000627609"
"1018.15,0.9172942059,0.001822954638"
"1026.4,0.922260852,0.0006020177171"
"1029.15,0.9271339542,0.001772037152"
"1031.65,0.9318853785,0.001900569705"
"1034.4,0.9365112043,0.001682118498"
"1037.4,0.9410334977,0.001507431103"
"1039.4,0.9454965864,0.00223154435"
"1042.4,0.9499593092,0.001487574284"
"1044.9,0.9544858163,0.001810602819"
"1050.15,0.9591323992,0.0008850634205"
"1052.65,0.9639370525,0.001921861324"
"1054.9,0.968912139,0.00221114955"
"1057.4,0.9740403888,0.002051299915"
"1061.9,0.9792773195,0.001163762385"
"1064.4,0.9845593066,0.002112794837"
"1066.65,0.9898151112,0.002335913132"
"1071.65,0.9949784054,0.001032658838"
"1073.9,1.0,0.002231819841"
