T(K),a,da/dT
300.407,0,0
300.519,0.00008904351871,0.0007912397538
300.632,0.0002761191653,0.00166031355
300.745,0.0005787391697,0.002682492781
301.084,0.001020730979,0.001302786174
301.766,0.001630545122,0.000893829255
303.261,0.002438224038,0.0005402108101
305.725,0.003472018976,0.000419622463
309.101,0.004755218974,0.0003800279279
314.615,0.006303561383,0.0002808360199
471.910,0.008123128343,0.00001156782556
477.874,0.01020925948,0.0003498166972
482.834,0.01254607178,0.0004710943841
488.440,0.01510768205,0.000456951324
494.071,0.01786020907,0.0004888148487
498.677,0.02076392489,0.0006304811545
504.138,0.02377833591,0.0005519370351
510.252,0.02686518954,0.0005049225967
515.115,0.0299958861,0.0006437040248
520.415,0.0331567766,0.0005963941303
525.515,0.03635738573,0.0006275792773
529.986,0.03963593809,0.0007332951036
544.722,0.04306698565,0.0002328422407
550.073,0.04676499712,0.0006909843703
555.430,0.0508860932,0.0007693903516
565.292,0.05562890899,0.0004808935576
570.225,0.06123070857,0.001135744761
574.727,0.06796079712,0.001494688583
579.871,0.07611018273,0.001584271184
585.012,0.08598172084,0.001920313961
595.064,0.09787368921,0.001183006354
599.974,0.1120633106,0.002890066283
604.237,0.1287888607,0.003923298258
609.131,0.1482307597,0.003972274546
613.804,0.1704934446,0.004764741615
618.043,0.1955865099,0.0059196518
622.695,0.2234139654,0.005981350606
627.336,0.2537664312,0.006540864644
631.543,0.286321253,0.007737546916
636.158,0.3206511462,0.007438953797
640.758,0.3562421647,0.007737103428
644.926,0.3925176647,0.008703036758
649.288,0.4288694158,0.008334415172
654.665,0.4646918494,0.006661298359
658.579,0.499416301,0.008873500817
663.091,0.5325417392,0.007340449221
667.380,0.5636608169,0.007256786426
671.445,0.5924761792,0.007087414201
675.492,0.6188082473,0.006506510725
679.319,0.6425934369,0.006215585609
682.728,0.6638715736,0.006242660595
686.519,0.6827687999,0.004983812441
690.292,0.6994743881,0.004428455212
693.453,0.7142193024,0.004664364436
697.188,0.7272535886,0.003489841335
708.263,0.7388287216,0.001045170562
711.717,0.7491850817,0.002997614616
714.961,0.7585418975,0.002884914178
718.374,0.7670926438,0.002505417178
721.952,0.7750009313,0.002210122967
724.759,0.7824019315,0.002636751898
728.106,0.7894015583,0.002091476306
731.428,0.7960821344,0.002010541923
734.179,0.8025057233,0.002335615701
737.275,0.808720296,0.002007289607
740.528,0.814765635,0.00185819849
743.219,0.8206754678,0.00219594418
746.247,0.8264815418,0.001917569719
749.251,0.832213298,0.001908204613
751.706,0.8378976779,0.002315184872
755.011,0.8435556525,0.001711918161
757.941,0.8492035547,0.001927459511
760.165,0.8548511702,0.002540180586
762.880,0.8605027398,0.002081389197
765.572,0.8661580201,0.0021010481
767.907,0.8718138224,0.002421669393
770.059,0.8774661111,0.002626550661
773.012,0.8831080314,0.001910744118
775.125,0.8887312134,0.002661480217
779.936,0.8943237902,0.001162379142
781.835,0.899871108,0.00292126813
784.344,0.9053556431,0.002186142262
786.517,0.9107588216,0.002486278971
788.516,0.9160639353,0.00265339626
790.649,0.9212585473,0.002435482086
792.911,0.9263369833,0.002245487261
794.702,0.931303441,0.0027722417
796.772,0.9361708725,0.002351589655
798.820,0.9409610064,0.002339143177
800.557,0.9457010451,0.002728016698
802.421,0.9504191605,0.002531628739
804.265,0.9551409854,0.002560568274
805.810,0.9598833665,0.003069740757
807.479,0.9646501146,0.002856063579
809.541,0.9694273699,0.002316767059
810.901,0.9741796288,0.003495325256
812.784,0.978847663,0.00247908618
814.246,0.9833464427,0.003075961407
815.824,0.9875676907,0.002674406241
817.385,0.9913848988,0.002446377859
818.927,0.9946615913,0.00212475183
820.325,0.9972630798,0.001861509624
821.956,0.9990719963,0.001108711456
823.319,1,0.00068064288
1024.65,0.9499612711,0.001414574009
1027.4,0.953728259,0.001369813785
1030.65,0.9574247375,0.001137378007
1033.4,0.9611115213,0.001340648652
1038.9,0.964845532,0.0006789110252
1041.4,0.968668622,0.001529236033
1044.4,0.9725967804,0.00130938611
1049.9,0.9766129138,0.0007302060821
1052.4,0.9806628369,0.001619969232
1055.15,0.9846568928,0.001452383976
1057.4,0.9884748001,0.001696847695
1060.15,0.9919758821,0.001273120727
1062.65,0.9950108478,0.001213986271
1064.9,0.9974364189,0.001078031572
1067.65,0.9991296306,0.000615713376
1077.65,1,0.00008703693549
