T(K),a,da/dT
300.9706719,0,0
301.0838986,0.00001916573505,0.0001692686888
301.197263,0.00006281621169,0.0003850456488
301.3107651,0.0001421636471,0.0006990837202
301.652096,0.0002752838858,0.0003900034225
302.2237247,0.0004873663189,0.000371014339
303.493328,0.0008131070104,0.0002565688698
305.843693,0.001295523715,0.0002052518246
309.1014906,0.001987780897,0.0002124923825
314.9997916,0.002950361379,0.0001631962294
514.2685332,0.004249988641,0.000006521982585
519.7785665,0.005959451271,0.0003102454263
529.5600518,0.00815423698,0.0002243816396
540.6582306,0.01091549993,0.00024880325
545.149625,0.01433109091,0.0007604745144
550.5018418,0.01850152608,0.0007791977289
578.3711504,0.02354613505,0.0001810094767
584.7976543,0.02960966964,0.0009435199418
589.0781621,0.03686658058,0.001695338797
593.782144,0.04552326313,0.001840288236
598.6937656,0.05581340736,0.002095060463
602.9587344,0.06798779411,0.002854507811
607.855521,0.08229894758,0.002922560169
616.7719707,0.09897935701,0.001870745643
621.427422,0.1182178233,0.004132460012
626.4927619,0.1401343174,0.004326756846
630.9125311,0.1647565535,0.005570932534
635.529359,0.1920026446,0.005901474281
640.3403075,0.2216692945,0.006166486699
644.3016391,0.2534315538,0.008018076365
648.872927,0.2868538807,0.007311359004
653.839673,0.3214123233,0.006957964553
657.7559658,0.3565268953,0.008966278515
662.272355,0.3915996492,0.007765662412
666.7681895,0.4260545815,0.007663745692
670.4306132,0.4593745648,0.009097795898
674.482386,0.4911299568,0.007837406873
678.313763,0.5209963602,0.007795213951
681.9268906,0.5487595677,0.007683982026
685.7226124,0.5743109719,0.006731632486
689.499077,0.5976326639,0.006175535709
692.8611699,0.6187799843,0.006289927442
696.599384,0.6378608603,0.005104275859
700.3164796,0.6550180285,0.004615745747
703.623875,0.6704150042,0.004655317502
707.6847431,0.6842258943,0.003400969886
714.1994082,0.6966297493,0.001903989663
717.8064421,0.7078064974,0.003098598028
721.200728,0.7179364948,0.002984426676
724.198712,0.7271967938,0.003088842027
727.7348468,0.7357593032,0.002421431853
733.6299053,0.7437858292,0.001361568501
736.911521,0.751421393,0.002326769628
739.8071863,0.7587920975,0.002545426961
742.503287,0.7659992575,0.002673179087
745.5367168,0.7731208099,0.002347689868
748.5461686,0.7802126097,0.00235650887
751.1812873,0.7873128764,0.002694476961
754.3178691,0.7944486047,0.002275001499
757.0821164,0.8016391128,0.002601253546
759.482123,0.8088979231,0.003024495986
762.2032603,0.8162324698,0.002695397523
765.0686626,0.8236411669,0.0025855696
767.0750469,0.8311091935,0.003722131706
769.7289879,0.8386064546,0.002824953922
774.4762285,0.8460878208,0.001575939967
776.8992031,0.8534984343,0.003058477597
779.140289,0.8607824121,0.003250200171
781.2034676,0.8678936678,0.003446747531
783.4059089,0.8748080935,0.003139436989
785.432759,0.8815306082,0.003316730111
787.5955989,0.8880970956,0.003036048721
789.889716,0.8945721954,0.002822480108
792.0089553,0.9010398063,0.003051854902
793.957625,0.9075905804,0.003361664687
796.0352784,0.9143081078,0.003233228097
797.9448884,0.9212557202,0.003638236331
799.6906366,0.9284693464,0.004132111493
803.5581541,0.9359545248,0.001935396122
805.2498264,0.9436885054,0.004571795969
807.0633014,0.9516259505,0.00437692557
808.856639,0.9597075098,0.004506435003
816.996459,0.96786631,0.001002331763
819.944912,0.9760349996,0.002770500194
821.456375,0.9841499713,0.005368951583
822.949208,0.99215423,0.005361791168
824.1788874,1,0.006380337797
