T(K),a,da/dT
300.744632000,0.000000000,0.000000000
300.857582980,0.000000786,0.000006956
300.970671880,0.000002431,0.000014549
301.083898580,0.000006108,0.000032472
301.197263000,0.000013668,0.000066694
301.538181640,0.000028385,0.000043167
302.338461130,0.000056151,0.000034695
303.609562860,0.000106008,0.000039224
306.439680730,0.000193080,0.000030766
310.456296880,0.000339165,0.000036370
315.128368390,0.000577164,0.000050941
322.122125000,0.000952999,0.000053739
330.167482630,0.001529175,0.000071616
337.862235450,0.002388309,0.000111652
346.950413890,0.003635215,0.000137201
487.815937700,0.005399923,0.000012528
504.559083900,0.007838206,0.000145629
562.504557200,0.011131523,0.000056835
577.299546900,0.015484511,0.000294220
582.441968400,0.021122119,0.001096294
586.938353500,0.028284073,0.001592825
592.286000000,0.037216778,0.001670399
597.840072900,0.048164754,0.001971162
602.532512000,0.061359108,0.002811833
607.855521000,0.077006542,0.002939584
612.954988900,0.095275048,0.003582434
617.407455100,0.116281082,0.004717842
622.483888600,0.140073995,0.004686935
627.546174100,0.166622656,0.005244402
631.753002900,0.195804085,0.006936681
636.367232000,0.227394141,0.006846226
641.592553500,0.261065124,0.006443811
645.757988800,0.296390340,0.008480558
650.530901000,0.332856403,0.007640212
655.077933900,0.369886019,0.008143688
658.989689800,0.406866721,0.009453735
663.705125000,0.443186254,0.007702265
668.194209900,0.478268838,0.007815086
671.850875000,0.511609038,0.009117652
676.097750600,0.542799509,0.007344334
680.523740500,0.571548152,0.006495416
684.126723700,0.597685548,0.007254376
688.308628600,0.621160181,0.005613383
692.269037400,0.642024254,0.005268162
695.617664700,0.660413623,0.005491614
699.340380100,0.676522761,0.004327255
703.041503200,0.690582111,0.003798671
706.334205900,0.702836136,0.003721571
709.800683000,0.713528876,0.003084613
713.627648000,0.722892013,0.002446622
716.670032000,0.731141410,0.002711491
720.824703100,0.738474094,0.001764925
724.385478000,0.745072209,0.001853000
727.549392900,0.751104460,0.001906578
731.060310500,0.756729297,0.001602099
734.543984000,0.762097618,0.001540994
737.456000000,0.767351054,0.001804054
740.887803500,0.772620523,0.001535481
744.112179200,0.778023401,0.001675636
746.955944400,0.783659501,0.001981915
750.129543300,0.789606398,0.001873865
753.275470500,0.795917092,0.002005988
756.048177700,0.802619812,0.002417392
759.311279000,0.809717904,0.002175259
762.203260300,0.817193602,0.002584975
767.075046900,0.825011084,0.001604644
769.728987900,0.833123043,0.003056571
772.031000000,0.841474548,0.003627915
774.476228500,0.850007763,0.003489741
776.899203100,0.858663315,0.003572284
779.140289000,0.867381846,0.003890315
781.519342200,0.876104158,0.003666296
783.718882900,0.884771258,0.003940413
785.743006600,0.893325517,0.004226154
788.056352800,0.901713655,0.003625976
790.649032600,0.909890806,0.003153938
792.610524800,0.917825305,0.004045134
794.850717900,0.925502280,0.003426926
796.919000000,0.932925188,0.003588924
798.674273000,0.940112497,0.004094696
800.557349600,0.947090242,0.003705502
802.563566900,0.953882544,0.003385626
804.406103000,0.960498738,0.003590808
806.089304000,0.966923763,0.003817147
808.031460100,0.973109535,0.003185002
811.575824000,0.978972504,0.001654167
815.037546900,0.984397800,0.001567224
818.414981000,0.989245990,0.001435466
819.691201600,0.993366224,0.003228465
821.456375000,0.996611185,0.001838324
822.949208000,0.998853754,0.001502224
824.178887400,1.000000000,0.000932150
1026.9,0.9038691114,0.002411422696
1029.65,0.9117383303,0.002861534159
1032.4,0.9196088771,0.002862017026
1035.4,0.9274582423,0.002616455056
1038.4,0.9352712133,0.002604323657
1040.9,0.9430369262,0.003106285194
1044.4,0.9507429138,0.002201710719
1047.65,0.9583692852,0.002346575836
1049.9,0.9658843582,0.003340032445
1052.65,0.9732429829,0.002675863511
1065.65,0.9803896583,0.0005497442637
1068.15,0.9872642917,0.002749853355
1070.9,0.9938132919,0.002381454618
1073.65,1,0.002249712036
