"T(K),a,da/dT"
"304.4,0.0,0.0"
"304.65,8.313540206e-05,0.0003325416083"
"304.9,0.0002577984158,0.0006986520548"
"305.15,0.0005403397326,0.001130165268"
"305.9,0.0009530057886,0.0005502214079"
"307.4,0.001522359535,0.0003795691639"
"310.65,0.002276449405,0.0002320276523"
"315.9,0.003241360783,0.0001837926435"
"322.9,0.004439077471,0.000171102384"
"333.9,0.005883992396,0.0001313559023"
"561.15,0.00758148218,7.469702021e-06"
"568.4,0.009526110625,0.000268224613"
"574.4,0.01170244195,0.000362721887"
"581.15,0.01408448213,0.000352894842"
"587.9,0.0166377247,0.0003782581582"
"593.4,0.01932156617,0.0004879711776"
"599.9,0.0220918368,0.0004261954814"
"607.15,0.02490610449,0.0003881748535"
"612.9,0.02772705845,0.0004906006881"
"619.15,0.03052992219,0.0004484581993"
"625.15,0.03330766363,0.0004629569059"
"630.4,0.03607853351,0.0005277847384"
"647.65,0.03889058162,0.0001630172819"
"653.9,0.04182765674,0.0004699320189"
"660.15,0.04501130114,0.000509383104"
"671.65,0.04860082616,0.0003121326105"
"677.4,0.052792781,0.0007290356255"
"682.65,0.05781641999,0.0009568836163"
"688.65,0.06392722114,0.001018466858"
"694.65,0.07139747067,0.001245041588"
"706.4,0.08050772179,0.0007753405206"
"712.15,0.09153237369,0.001917330766"
"717.15,0.1047250968,0.002638544623"
"722.9,0.1203035225,0.002709291416"
"728.4,0.1384311366,0.003295929842"
"733.4,0.1592015235,0.004154077384"
"738.9,0.18262046,0.004257988448"
"744.4,0.2085964309,0.004722903797"
"749.4,0.2369321813,0.00566715008"
"754.9,0.2673253725,0.005526034774"
"760.4,0.2993768053,0.005827533237"
"765.4,0.3326060402,0.006645846978"
"770.65,0.3664743956,0.006451115314"
"777.15,0.4004142334,0.005221513503"
"781.9,0.4338598742,0.007041187549"
"787.4,0.4662803836,0.005894638072"
"792.65,0.4972082636,0.005891024754"
"797.65,0.5262629567,0.005810938629"
"802.65,0.5531671357,0.00538083579"
"807.4,0.5777537314,0.005176125408"
"811.65,0.599963641,0.005225861095"
"816.4,0.6198354326,0.004183535066"
"821.15,0.637488117,0.00371635462"
"825.15,0.6531011285,0.003903252869"
"829.9,0.6668933454,0.002903624613"
"844.15,0.6791024092,0.0008567764025"
"848.65,0.689968673,0.002414725303"
"852.9,0.6997231163,0.002295163123"
"857.4,0.7085767959,0.001967484352"
"862.15,0.7167168619,0.0017136981"
"865.9,0.7243018203,0.002022655585"
"870.4,0.7314603342,0.001590780868"
"874.9,0.7382916484,0.001518069818"
"878.65,0.7448693693,0.001754058898"
"882.9,0.751243768,0.001499858519"
"887.4,0.7574491358,0.001378970634"
"891.15,0.7635086356,0.001615866616"
"895.4,0.7694389417,0.001395366124"
"899.65,0.7752540828,0.001368268505"
"903.15,0.7809678613,0.001632508143"
"907.9,0.7865944865,0.001184552671"
"912.15,0.7921467836,0.001306422843"
"915.4,0.7976370678,0.001689318222"
"919.4,0.8030764637,0.001359848965"
"923.4,0.8084735367,0.001349268268"
"926.9,0.813835328,0.00153194035"
"930.15,0.8191657714,0.001640136451"
"934.65,0.8244673658,0.001178132083"
"937.9,0.8297381006,0.001621764547"
"945.4,0.8349717472,0.0006978195459"
"948.4,0.8401578512,0.001728701363"
"952.4,0.8452823301,0.001281119703"
"955.9,0.8503289969,0.001441904803"
"959.15,0.8552831075,0.001524341722"
"962.65,0.8601334047,0.001385799214"
"966.4,0.864875473,0.001264551536"
"969.4,0.8695130442,0.001545857063"
"972.9,0.8740591487,0.001298887012"
"976.4,0.8785350683,0.001278834179"
"979.4,0.8829677638,0.001477565159"
"982.65,0.8873870765,0.001359788521"
"985.9,0.8918222684,0.001364674441"
"988.65,0.8962976869,0.001627424912"
"991.65,0.9008307571,0.00151102338"
"995.4,0.9054290139,0.001226201812"
"997.9,0.9100887819,0.001863907225"
"1001.4,0.9147942223,0.001344411526"
"1004.15,0.9195180545,0.001717757182"
"1007.15,0.9242228695,0.001568271641"
"1010.15,0.9288659339,0.001547688145"
"1013.15,0.93340329,0.00151245203"
"1015.9,0.9377966047,0.001597568985"
"1019.15,0.9420214485,0.001299951931"
"1021.9,0.9460711926,0.001472634219"
"1024.65,0.9499612711,0.001414574009"
"1027.4,0.953728259,0.001369813785"
"1030.65,0.9574247375,0.001137378007"
"1033.4,0.9611115213,0.001340648652"
"1038.9,0.964845532,0.0006789110252"
"1041.4,0.968668622,0.001529236033"
"1044.4,0.9725967804,0.00130938611"
"1049.9,0.9766129138,0.0007302060821"
"1052.4,0.9806628369,0.001619969232"
"1055.15,0.9846568928,0.001452383976"
"1057.4,0.9884748001,0.001696847695"
"1060.15,0.9919758821,0.001273120727"
"1062.65,0.9950108478,0.001213986271"
"1064.9,0.9974364189,0.001078031572"
"1067.65,0.9991296306,0.000615713376"
"1077.65,1.0,8.703693549e-05"
