"T(K),a,da/dT"
"304.65,0.0,0.0"
"305.65,0.0004136524784,0.0004136524784"
"545.4,0.001226337948,3.389720416e-06"
"551.9,0.002410491129,0.0001821774125"
"559.4,0.003927841211,0.0002023133442"
"566.15,0.005733168759,0.0002674559331"
"572.15,0.007777065697,0.0003406494897"
"578.65,0.01000864196,0.000343319425"
"585.9,0.0123769624,0.0003266648881"
"591.9,0.01483257029,0.000409267982"
"598.4,0.01732846877,0.0003839843817"
"604.9,0.01982194623,0.0003836119169"
"610.4,0.02227563263,0.0004461248006"
"617.15,0.02466075789,0.0003533518902"
"623.4,0.0269597627,0.0003678407693"
"628.9,0.02916929516,0.0004017331737"
"636.4,0.03130315991,0.000284515301"
"642.4,0.03339629567,0.0003488559585"
"647.9,0.03550808987,0.0003839625827"
"654.15,0.03772553246,0.0003547908135"
"660.4,0.04016549098,0.0003903933647"
"665.9,0.04297455904,0.0005107396458"
"671.9,0.04632754627,0.0005588312054"
"677.9,0.05042181556,0.0006823782152"
"683.15,0.05547032374,0.000961620606"
"689.4,0.06169166722,0.0009954149571"
"695.4,0.06930265761,0.001268498397"
"700.4,0.07850960305,0.001841389088"
"706.65,0.08950294799,0.001758935192"
"712.4,0.1024535625,0.002252280777"
"717.9,0.1175083717,0.002737238042"
"723.65,0.1347866697,0.003004921401"
"729.4,0.154371279,0.003406018997"
"734.4,0.1762972555,0.004385195303"
"739.65,0.2005367242,0.004617041665"
"745.15,0.226982574,0.004808336311"
"750.15,0.2554349896,0.005690483127"
"755.65,0.2855931867,0.005483308574"
"760.9,0.317057982,0.00599329433"
"766.4,0.3493445361,0.005870282565"
"771.9,0.3819075489,0.005920547787"
"777.65,0.414173995,0.005611555841"
"782.65,0.4455821134,0.006281623677"
"787.9,0.4756200412,0.005721510058"
"793.4,0.503857744,0.005134127789"
"798.4,0.5299721253,0.005222876247"
"803.4,0.5537590245,0.004757379854"
"808.15,0.5751339669,0.004499987873"
"812.15,0.5941232921,0.004747331281"
"816.9,0.6108469199,0.003520763754"
"821.4,0.6254975943,0.003255705416"
"825.65,0.6383174044,0.003016425915"
"830.4,0.6495769921,0.002370439519"
"834.9,0.6595557447,0.00221750057"
"843.65,0.6685246192,0.001025014228"
"848.4,0.6767334067,0.001728165804"
"852.4,0.6844021119,0.001917176299"
"856.65,0.6917139374,0.001720429517"
"861.65,0.6988129848,0.001419809483"
"865.65,0.7058059042,0.001748229849"
"869.9,0.7127656262,0.001637581658"
"874.4,0.7197373468,0.001549271239"
"878.4,0.7267462877,0.001752235226"
"882.65,0.7338051534,0.001660909573"
"891.15,0.7409219406,0.0008372690856"
"895.65,0.7481037593,0.001595959713"
"899.9,0.7553609254,0.001707568485"
"903.65,0.7627037808,0.00195809476"
"907.65,0.7701424307,0.001859662488"
"912.15,0.7776800626,0.001675029309"
"915.65,0.7853089301,0.002179676439"
"920.4,0.793007596,0.001620771757"
"928.15,0.8007387214,0.0009975645674"
"936.15,0.8084528975,0.0009642720109"
"939.65,0.8160934804,0.002183023691"
"950.65,0.8236045294,0.0006828226406"
"954.4,0.8309376845,0.001955508033"
"958.15,0.8380589991,0.001899017205"
"961.15,0.8449524,0.002297800315"
"964.9,0.8516192243,0.001777819817"
"969.15,0.8580767525,0.001519418405"
"972.15,0.8643536571,0.002092301529"
"975.4,0.8704856156,0.001886756456"
"985.65,0.8765099901,0.0005877438477"
"989.15,0.8824630838,0.001700883937"
"992.15,0.8883779985,0.001971638213"
"995.4,0.8942826569,0.001816817968"
"1001.15,0.9001993066,0.001028982571"
"1004.65,0.906143446,0.001698325542"
"1007.9,0.9121227708,0.001839792224"
"1010.65,0.918136755,0.002186903359"
"1013.9,0.9241752197,0.001857989147"
"1016.65,0.9302193645,0.002197870823"
"1019.4,0.9362417617,0.002189962605"
"1028.4,0.9422105156,0.0006631948853"
"1034.4,0.9480924312,0.000980319267"
"1036.9,0.9538574999,0.002306027449"
"1039.9,0.9594830321,0.001875177399"
"1042.4,0.9649576088,0.002189830702"
"1045.4,0.970281155,0.001774515405"
"1048.15,0.9754640177,0.001884677347"
"1050.9,0.9805242086,0.001840069426"
"1056.15,0.9854840545,0.00094473254"
"1061.15,0.9903675745,0.0009767040079"
"1063.9,0.9951985466,0.001756717136"
"1073.9,1.0,0.0004801453353"
