"T(K),a,da/dT"
"304.15,0.0,0.0"
"304.4,0.0003533804610373,0.0014135218441495"
"304.65,0.0010515724386349,0.0027927679103903"
"304.9,0.0020785656648323,0.0041079729047894"
"305.65,0.0034119359871045,0.0017778270963629"
"306.4,0.0050247438724989,0.0021504105138593"
"307.65,0.0068879390285122,0.0014905561248105"
"556.65,0.0089717869318816,8.3688670818e-06"
"563.65,0.0112463401988697,0.0003249361809982"
"570.65,0.013682293164805,0.0003479932808478"
"577.4,0.0162502954314793,0.000380444780248"
"584.4,0.0189206886823497,0.0003814847501243"
"590.15,0.0216617774458106,0.0004767110892975"
"596.9,0.0244411303504081,0.0004117559858662"
"603.65,0.0272254816417254,0.0004124964876025"
"609.15,0.029982389567675,0.0005012559865362"
"615.65,0.0326828460275443,0.0004154548399798"
"621.9,0.0353029953465236,0.0004192238910366"
"627.4,0.0378272261872735,0.0004589510619545"
"633.4,0.0402516412214362,0.0004040691723604"
"639.4,0.042584834059413,0.0003888654729961"
"644.9,0.0448519873174942,0.0004122096832874"
"650.65,0.0470979496152711,0.0003906021387438"
"656.65,0.0493900572885561,0.0003820179455474"
"662.15,0.051822717347612,0.0004423018289192"
"667.9,0.0545209426291409,0.0004692565707006"
"673.65,0.0576425112176661,0.0005428814936565"
"678.9,0.0613794661399777,0.0007118009375831"
"684.65,0.0659554416817134,0.0007958218333453"
"690.4,0.071620558645673,0.0009852377328625"
"695.65,0.0786443888045935,0.0013378724112229"
"701.4,0.0873055064934513,0.0015062813371926"
"711.9,0.097879123573525,0.0010070111504832"
"717.4,0.110621893689219,0.0023168672937624"
"723.4,0.125756747106421,0.0025224755695338"
"728.15,0.143454218539128,0.0037257834595171"
"733.9,0.163815571037066,0.0035411047822501"
"740.15,0.186854483485567,0.00368622599176"
"744.9,0.212481334265392,0.0053951264799633"
"750.15,0.240493931318972,0.0053357327721104"
"755.65,0.270574823971723,0.005469253209591"
"760.4,0.302297801629518,0.0066785216121674"
"765.9,0.335147301109055,0.0059726362690066"
"770.9,0.368546754771766,0.0066798907325421"
"775.65,0.40189456781376,0.007020592219367"
"780.65,0.434603890642079,0.0065418645656638"
"785.9,0.466139624738051,0.0060068064944708"
"790.4,0.496049293059291,0.0066465929602755"
"795.4,0.523982703233642,0.0055866820348701"
"800.4,0.549701582247983,0.0051437758028683"
"804.65,0.573077775501434,0.0055002807655177"
"810.15,0.594081402507593,0.003818841273847"
"819.15,0.612765902175924,0.0020760555187034"
"827.9,0.629250493488153,0.0018839532928262"
"832.15,0.643702560006344,0.0034004862395743"
"836.65,0.6563226276902,0.0028044594853012"
"841.15,0.667332121975723,0.0024465542856717"
"845.15,0.676963310042756,0.0024077970167583"
"849.65,0.685451027357916,0.0018861594033688"
"854.15,0.693025201106043,0.001683149721806"
"862.65,0.699904031189498,0.0008092741274652"
"867.15,0.706288591093981,0.0014187910898851"
"871.15,0.712354916775489,0.0015165814203771"
"875.65,0.718248850081239,0.0013097629568333"
"879.9,0.724082149728295,0.0013725410934247"
"883.65,0.729929613075576,0.001559323559275"
"892.15,0.735830556276821,0.0006942286119111"
"895.9,0.741794729273725,0.0015904461325077"
"904.4,0.747811250832687,0.0007078260657602"
"907.65,0.753860169773511,0.0018612058279458"
"911.9,0.759924666958779,0.0014269405141807"
"915.9,0.766000848360842,0.0015190453505156"
"919.65,0.772104470879137,0.0016276326715452"
"923.9,0.778271880485877,0.001451155201586"
"927.9,0.784555337764286,0.0015708643196021"
"930.9,0.791014149967492,0.0021529374010686"
"934.4,0.797704564272525,0.0019115469442952"
"937.65,0.80466750095967,0.002142442057583"
"946.9,0.811919167956894,0.0007839639996999"
"949.9,0.819447567057411,0.0025094663668387"
"953.15,0.827210731654193,0.0023886660297793"
"962.9,0.835141873503448,0.0008134504460774"
"966.4,0.843160095294901,0.0022909205118436"
"969.15,0.851177824863248,0.0029155380248534"
"972.65,0.859115095921345,0.0022677917308849"
"975.9,0.866909316617767,0.0023982217527451"
"978.4,0.874522698916703,0.0030453529195744"
"981.65,0.881945712605951,0.0022840042120763"
"985.15,0.889196827836099,0.0020717472086135"
"987.65,0.896318744694823,0.0028487667434896"
"990.9,0.903371107725787,0.0021699578556811"
"994.15,0.910420911282656,0.0021691703251905"
"996.9,0.917535148417307,0.0025869953216911"
"1000.15,0.924770226841235,0.0022261779765933"
"1003.65,0.932164842377622,0.0021127472961105"
"1006.9,0.939732910897092,0.002328636467529"
"1013.15,0.947460593120386,0.001236429155727"
"1015.9,0.955304779890562,0.0028524315527914"
"1030.15,0.963194952651898,0.0005536963341287"
"1032.65,0.97104055448881,0.0031382407347647"
"1046.4,0.97873906073264,0.0005598913631876"
"1054.15,0.986187604737034,0.0009611024521798"
"1056.65,0.993296438875338,0.0028435336553213"
"1073.4,1.0,0.0004002126044574"
